data_provider,institutionCode,variable,counts
idigbio,TAC,has_identifiedBy,1925
idigbio,TAC,has_recordedBy,2083
idigbio,TAC,has_eventDate,2052
idigbio,MCZ,total,3344
idigbio,MCZ,has_collectionCode,3344
idigbio,MCZ,has_catalogNumber,3344
idigbio,MCZ,has_scientificName,3344
idigbio,MCZ,has_acceptedNameUsage,0
idigbio,MCZ,has_locality,1799
idigbio,MCZ,has_countryCode,1799
idigbio,MCZ,has_coordinates,1454
idigbio,MCZ,has_image,0
idigbio,MCZ,has_dateIdentified,293
idigbio,MCZ,has_identifiedBy,3344
idigbio,MCZ,has_recordedBy,3344
idigbio,MCZ,has_eventDate,3344
idigbio,SEINet,total,268
idigbio,SEINet,has_collectionCode,33
idigbio,SEINet,has_catalogNumber,266
idigbio,SEINet,has_scientificName,268
idigbio,SEINet,has_acceptedNameUsage,0
idigbio,SEINet,has_locality,261
idigbio,SEINet,has_countryCode,268
idigbio,SEINet,has_coordinates,263
idigbio,SEINet,has_image,15
idigbio,SEINet,has_dateIdentified,93
idigbio,SEINet,has_identifiedBy,108
idigbio,SEINet,has_recordedBy,268
idigbio,SEINet,has_eventDate,262
idigbio,WFBM,total,4
idigbio,WFBM,has_collectionCode,4
idigbio,WFBM,has_catalogNumber,4
idigbio,WFBM,has_scientificName,4
idigbio,WFBM,has_acceptedNameUsage,0
idigbio,WFBM,has_locality,4
idigbio,WFBM,has_countryCode,4
idigbio,WFBM,has_coordinates,4
idigbio,WFBM,has_image,4
idigbio,WFBM,has_dateIdentified,0
idigbio,WFBM,has_identifiedBy,0
idigbio,WFBM,has_recordedBy,4
idigbio,WFBM,has_eventDate,4
idigbio,RSA,total,742723
idigbio,RSA,has_collectionCode,334601
idigbio,RSA,has_catalogNumber,424250
idigbio,RSA,has_scientificName,742723
idigbio,RSA,has_acceptedNameUsage,0
idigbio,RSA,has_locality,739946
idigbio,RSA,has_countryCode,741902
idigbio,RSA,has_coordinates,380830
idigbio,RSA,has_image,0
idigbio,RSA,has_dateIdentified,0
idigbio,RSA,has_identifiedBy,0
idigbio,RSA,has_recordedBy,742618
idigbio,RSA,has_eventDate,734089
idigbio,DBG,total,87474
idigbio,DBG,has_collectionCode,87474
idigbio,DBG,has_catalogNumber,84089
idigbio,DBG,has_scientificName,87474
idigbio,DBG,has_acceptedNameUsage,0
idigbio,DBG,has_locality,80833
idigbio,DBG,has_countryCode,84104
idigbio,DBG,has_coordinates,70170
idigbio,DBG,has_image,78886
idigbio,DBG,has_dateIdentified,9898
idigbio,DBG,has_identifiedBy,14814
idigbio,DBG,has_recordedBy,85214
idigbio,DBG,has_eventDate,85042
idigbio,UAAH,total,11201
idigbio,UAAH,has_collectionCode,11201
idigbio,UAAH,has_catalogNumber,11201
idigbio,UAAH,has_scientificName,11201
idigbio,UAAH,has_acceptedNameUsage,11033
idigbio,UAAH,has_locality,10568
idigbio,UAAH,has_countryCode,11194
idigbio,UAAH,has_coordinates,10508
idigbio,UAAH,has_image,6800
idigbio,UAAH,has_dateIdentified,3644
idigbio,UAAH,has_identifiedBy,4471
idigbio,UAAH,has_recordedBy,11113
idigbio,UAAH,has_eventDate,11144
idigbio,URV,total,2261
idigbio,URV,has_collectionCode,0
idigbio,URV,has_catalogNumber,2261
idigbio,URV,has_scientificName,2261
idigbio,URV,has_acceptedNameUsage,0
idigbio,URV,has_locality,2246
idigbio,URV,has_countryCode,2261
idigbio,URV,has_coordinates,262
idigbio,URV,has_image,2249
idigbio,URV,has_dateIdentified,1845
idigbio,URV,has_identifiedBy,1904
idigbio,URV,has_recordedBy,2260
idigbio,URV,has_eventDate,2240
idigbio,KSTC,total,50877
idigbio,KSTC,has_collectionCode,50877
idigbio,KSTC,has_catalogNumber,50822
idigbio,KSTC,has_scientificName,50866
idigbio,KSTC,has_acceptedNameUsage,0
idigbio,KSTC,has_locality,50498
idigbio,KSTC,has_countryCode,48547
idigbio,KSTC,has_coordinates,22569
idigbio,KSTC,has_image,0
idigbio,KSTC,has_dateIdentified,0
idigbio,KSTC,has_identifiedBy,38196
idigbio,KSTC,has_recordedBy,50510
idigbio,KSTC,has_eventDate,50221
idigbio,MASS,total,8723
idigbio,MASS,has_collectionCode,0
idigbio,MASS,has_catalogNumber,8723
idigbio,MASS,has_scientificName,8723
idigbio,MASS,has_acceptedNameUsage,0
idigbio,MASS,has_locality,8723
idigbio,MASS,has_countryCode,8564
idigbio,MASS,has_coordinates,8558
idigbio,MASS,has_image,8723
idigbio,MASS,has_dateIdentified,23
idigbio,MASS,has_identifiedBy,28
idigbio,MASS,has_recordedBy,8712
idigbio,MASS,has_eventDate,7624
idigbio,BBLM,total,4480
idigbio,BBLM,has_collectionCode,4480
idigbio,BBLM,has_catalogNumber,4480
idigbio,BBLM,has_scientificName,4480
idigbio,BBLM,has_acceptedNameUsage,4454
idigbio,BBLM,has_locality,4092
idigbio,BBLM,has_countryCode,4475
idigbio,BBLM,has_coordinates,1218
idigbio,BBLM,has_image,4163
idigbio,BBLM,has_dateIdentified,243
idigbio,BBLM,has_identifiedBy,1728
idigbio,BBLM,has_recordedBy,4471
idigbio,BBLM,has_eventDate,4364
idigbio,WCUH,total,27994
idigbio,WCUH,has_collectionCode,5765
idigbio,WCUH,has_catalogNumber,27993
idigbio,WCUH,has_scientificName,27994
idigbio,WCUH,has_acceptedNameUsage,0
idigbio,WCUH,has_locality,6471
idigbio,WCUH,has_countryCode,27955
idigbio,WCUH,has_coordinates,3174
idigbio,WCUH,has_image,19339
idigbio,WCUH,has_dateIdentified,339
idigbio,WCUH,has_identifiedBy,638
idigbio,WCUH,has_recordedBy,5355
idigbio,WCUH,has_eventDate,6091
idigbio,PERTH,total,131
idigbio,PERTH,has_collectionCode,0
idigbio,PERTH,has_catalogNumber,0
idigbio,PERTH,has_scientificName,131
idigbio,PERTH,has_acceptedNameUsage,0
idigbio,PERTH,has_locality,131
idigbio,PERTH,has_countryCode,131
idigbio,PERTH,has_coordinates,90
idigbio,PERTH,has_image,130
idigbio,PERTH,has_dateIdentified,3
idigbio,PERTH,has_identifiedBy,1
idigbio,PERTH,has_recordedBy,131
idigbio,PERTH,has_eventDate,129
idigbio,FLD,total,14619
idigbio,FLD,has_collectionCode,0
idigbio,FLD,has_catalogNumber,14587
idigbio,FLD,has_scientificName,14619
idigbio,FLD,has_acceptedNameUsage,0
idigbio,FLD,has_locality,14068
idigbio,FLD,has_countryCode,14597
idigbio,FLD,has_coordinates,5428
idigbio,FLD,has_image,1586
idigbio,FLD,has_dateIdentified,93
idigbio,FLD,has_identifiedBy,2107
idigbio,FLD,has_recordedBy,14251
idigbio,FLD,has_eventDate,14190
idigbio,ISTC,total,6788
