institutionCode,total,has_collectionCode,has_catalogNumber,has_scientificName,has_acceptedNameUsage,has_locality,has_countryCode,has_coordinates,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_speciesKey,has_higherGeography,File
MAINE,57878,45744,57878,57878,0,40799,57832,39753,37578,12437,20369,56547,51555,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MARY,53862,0,48706,53862,0,45580,53734,30889,44778,599,664,48109,45290,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MASS,102015,93292,102015,102015,0,98995,100442,86292,95611,23,28,100713,94013,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MBM,286618,286618,286618,280748,0,237338,264335,20934,0,46588,236933,286618,0,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MCA,51316,0,51316,51316,0,50430,51311,13492,50545,5,5,51315,50544,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MCTC,13798,0,13798,13798,0,13086,13101,6658,13797,35,175,13677,13187,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MCZ,3344,3344,3344,3344,0,1799,1799,1454,0,293,3344,3344,3344,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MDKY,10278,0,10278,10278,0,0,10275,0,9337,0,0,0,0,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MEM,13570,0,13569,13570,0,19,13566,10,0,112,112,13570,13189,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MESA,3136,0,3135,3136,0,2961,3133,2702,574,22,56,3109,2887,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MICH,706343,1,705841,706343,0,586805,639954,191631,614301,33732,131178,667069,585632,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MIL,3155,0,3155,3155,0,2806,3035,533,0,380,2064,3151,3129,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MIN,536581,536581,535199,536581,0,388402,458220,224757,291974,29180,33630,455601,404658,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
miss,1,0,1,1,0,1,1,1,1,0,0,1,1,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MISS,75866,0,75389,75866,0,74818,75838,23570,74563,2696,3051,75854,74227,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MISSA,28369,29,26732,28369,0,23093,27863,19394,26337,865,932,25591,23647,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MNA,36637,18,36346,36637,0,35775,36560,21570,3713,11889,28965,36150,30086,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MO,4673486,4673486,4673486,4673486,0,4431052,4526060,3129413,268805,2529788,2921382,4673460,1,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MOAR,26079,0,25231,26079,0,21135,23120,20856,23218,70,157,23201,21274,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
MONT,53260,44764,53216,53260,44098,52305,52997,40089,52587,24078,27611,53063,51420,NA,NA,idigbio_us_institutionCode_MIDS_2020.07.13.csv
