institutionCode,variable,counts
USA005,has_eventDate,0
USA033,total,8361
USA033,has_collectionCode,8361
USA033,has_catalogNumber,8361
USA033,has_speciesKey,8360
USA033,has_scientificName,8361
USA033,has_acceptedNameUsage,0
USA033,has_locality,2367
USA033,has_higherGeography,0
USA033,has_countryCode,7472
USA033,has_coordinates,927
USA033,has_image,0
USA033,has_dateIdentified,0
USA033,has_identifiedBy,0
USA033,has_recordedBy,0
USA033,has_eventDate,0
VMNH,total,4
VMNH,has_collectionCode,4
VMNH,has_catalogNumber,4
VMNH,has_speciesKey,0
VMNH,has_scientificName,4
VMNH,has_acceptedNameUsage,0
VMNH,has_locality,4
VMNH,has_higherGeography,4
VMNH,has_countryCode,4
VMNH,has_coordinates,0
VMNH,has_image,4
VMNH,has_dateIdentified,0
VMNH,has_identifiedBy,4
VMNH,has_recordedBy,4
VMNH,has_eventDate,4
LSU,total,163406
LSU,has_collectionCode,163406
LSU,has_catalogNumber,163406
LSU,has_speciesKey,161038
LSU,has_scientificName,163406
LSU,has_acceptedNameUsage,0
LSU,has_locality,159710
LSU,has_higherGeography,0
LSU,has_countryCode,161772
LSU,has_coordinates,57400
LSU,has_image,0
LSU,has_dateIdentified,52585
LSU,has_identifiedBy,65362
LSU,has_recordedBy,161780
LSU,has_eventDate,155045
UHIM,total,43
UHIM,has_collectionCode,43
UHIM,has_catalogNumber,43
UHIM,has_speciesKey,10
UHIM,has_scientificName,43
UHIM,has_acceptedNameUsage,0
UHIM,has_locality,22
UHIM,has_higherGeography,0
UHIM,has_countryCode,40
UHIM,has_coordinates,0
UHIM,has_image,43
UHIM,has_dateIdentified,0
UHIM,has_identifiedBy,0
UHIM,has_recordedBy,39
UHIM,has_eventDate,40
UAMb,total,74529
UAMb,has_collectionCode,74529
UAMb,has_catalogNumber,74529
UAMb,has_speciesKey,70052
UAMb,has_scientificName,74529
UAMb,has_acceptedNameUsage,0
UAMb,has_locality,74529
UAMb,has_higherGeography,74529
UAMb,has_countryCode,74133
UAMb,has_coordinates,29714
UAMb,has_image,57013
UAMb,has_dateIdentified,74513
UAMb,has_identifiedBy,74529
UAMb,has_recordedBy,74529
UAMb,has_eventDate,74402
BUF,total,56258
BUF,has_collectionCode,56258
BUF,has_catalogNumber,56258
BUF,has_speciesKey,46172
BUF,has_scientificName,56258
BUF,has_acceptedNameUsage,0
BUF,has_locality,56095
BUF,has_higherGeography,56225
BUF,has_countryCode,46153
BUF,has_coordinates,0
BUF,has_image,0
BUF,has_dateIdentified,2417
BUF,has_identifiedBy,5132
BUF,has_recordedBy,43305
BUF,has_eventDate,42669
UOMNH,total,18572
UOMNH,has_collectionCode,18572
UOMNH,has_catalogNumber,18570
UOMNH,has_speciesKey,6130
UOMNH,has_scientificName,18572
UOMNH,has_acceptedNameUsage,0
UOMNH,has_locality,8321
UOMNH,has_higherGeography,9739
UOMNH,has_countryCode,17570
UOMNH,has_coordinates,1009
UOMNH,has_image,969
UOMNH,has_dateIdentified,0
UOMNH,has_identifiedBy,10482
UOMNH,has_recordedBy,15862
UOMNH,has_eventDate,382
GMNH,total,175
GMNH,has_collectionCode,175
GMNH,has_catalogNumber,159
GMNH,has_speciesKey,0
GMNH,has_scientificName,175
GMNH,has_acceptedNameUsage,0
GMNH,has_locality,174
GMNH,has_higherGeography,0
GMNH,has_countryCode,175
GMNH,has_coordinates,126
GMNH,has_image,0
GMNH,has_dateIdentified,0
GMNH,has_identifiedBy,0
GMNH,has_recordedBy,175
GMNH,has_eventDate,173
UCMP,total,44354
UCMP,has_collectionCode,44354
UCMP,has_catalogNumber,44354
UCMP,has_speciesKey,14157
UCMP,has_scientificName,44354
UCMP,has_acceptedNameUsage,0
UCMP,has_locality,44327
UCMP,has_higherGeography,0
UCMP,has_countryCode,43098
UCMP,has_coordinates,7204
UCMP,has_image,684
UCMP,has_dateIdentified,0
