uuid,name
4c51ed21-26d8-4b3c-bc5d-e49bbee4fa6d,New Brunswick Museum
de67ccab-7d04-43b9-8083-81e45f628505,"University of North Carolina, Asheville"
c1e2b821-96a2-422f-a1fe-7a53aaa2e9bf,Putnam Museum and Science Center
9764480a-6e4a-4800-9bb7-b6fb73bccc50,UTEP Invertebrates (Arctos)
431b56fc-d016-459a-97ab-1e9c8168a7f0,HJ - Herbario Jataiense
5db52f01-8d71-43e5-b835-0ff7d33d715b,HPL - Herbário do Jardim Botânico Plantarum
b985f284-eac5-4efe-8a7c-c726cdf7cf33,William F. Barr Entomological Museum
0a854fba-3da1-4d7b-88e1-1204a993ee00,Luther College
82672123-feef-4b1c-9ee3-9a681204ae76,HUCS - Herbário da Universidade de Caxias do Sul
45544aa4-8762-4bf0-bfc6-890d08dc6ead,Illinois Natural History Survey - Fish Collection
df22987f-d20d-41db-b8eb-8b5f5fca6df0,"UAM Herbarium (ALA), Cryptogam Collection (Arctos)"
1ae056ac-8834-43a8-ad44-d1148b6e075f,KWP Lepidoptera Collection (Arctos)
535d4a21-8650-41d0-b92f-b6c028db13e2,R-Tipos - Herbário do Museu Nacional - Tipos
e7bc6545-f14f-4fc4-9902-1aa38040f184,UAM Fish Collection (Arctos)
662088ed-7dc8-4043-8046-8e1035ae742f,"Inventario de los ropaloceros (Lepidoptera) de la Sierra Gorda, estado de Querétaro, México"
e1e8586c-bdd4-47d1-bc06-0ef384ed409b,"Actualización de la base de datos del estado de Morelos de la Colección Nacional de Mamíferos del Instituto de Biología, UNAM"
751b5d4c-aba7-4c1f-b0a1-dfe2e9346d1b,Florística y biogeografía de algunos bosques mesófilos de la Huasteca Hidalguense: Fase II (Tlahuelompa y Eloxochitlán)
8c85d229-23d8-410b-8be1-90e8b134a6ba,"Base de datos de la colección de zooplancton de agua dulce de ECOSUR, Chetumal"
2812522a-8fe9-4b30-9ab4-a85e8196e7c8,Códigos de barras de la vida en peces y zooplancton de México
584e9356-3882-4380-b249-342dd4a11236,Diversidad fúngica en planicies del desierto central sonorense y centro del desierto chihuahuense
799c19c2-dcfb-4a45-b8ce-1e2e50029a85,Actualización de la Colección de Collembola de México y ácaros edáficos. Catálogo de oribátidos de México
18439dec-e9dc-4732-b1c1-0c7007754dbe,"Milwaukee Public Museum, Invertebrate Zoology-Insect Collection"
dd2c002f-1f3f-41a5-a483-0849ca798049,Buffalo Society of Natural Sciences Herpetology
5baa1d0c-cfc0-4c89-8e3e-7a49359b0caa,H.A. Stephens Herbarium
d1974f4a-fdfd-4daf-b9b1-e63d9d060feb,Tanzanian Vertebrate Collection
08524f6f-f3f9-4cad-9835-3fe3407ce026,Collection botanique Letendre (abbé) (BOUM)
1eb85009-7d5d-4663-8c74-d87b62290365,ISM Herpetology Collection
8295ea14-c4fd-499b-bc68-2907ed36badc,Fort Lewis College Herbarium
7be20c8d-a23f-406e-8f03-aa9dfb4b30b1,CHAS Herpetology
156e4092-a68c-4b6d-a3a8-a36edcd74867,LSUMZ Herp Tissues
540e18dc-09aa-4790-8b47-8d18ae86fabc,Margaret H. Fulford Herbarium at the University of Cincinnati
319636db-c2da-493c-beac-1194949e95b4,Palaeobiology - Vertebrate Fossils Collection - Mammalia - Royal Ontario Museum
0c9378fa-3ccb-4342-be2e-5b5080691dd1,"Media Recordset for ""Plant Bug Planetary Biodiversity Inventory Project PBI"""
ec248223-f277-4c02-b1fa-60056b5a689a,Massey Herbarium (Virginia Tech)
1eca069b-09e0-406d-9625-cb9c52e1e5cc,"Duke University, Herbarium Fungal Collection"
e5b0c46a-5eb6-4b94-9d4c-fb1000f534b0,"Miami University, Willard Sherman Turrell Herbarium"
781b461a-2788-4fa6-b3df-bbed9447f5a3,"Caliente Field Office, Bureau of Land Management"
f08c31ea-0e90-4cc1-b471-dfd0584ae7cf,University of Wisconsin-LaCrosse
feec2eee-841a-47d3-9751-df5f28cdd366,Base de datos sobre los hongos anamorfos de restos de vegetales del bosque mesófilo del estado de Veracruz
70c60dcf-1fe8-4060-b627-c3f3295a47fa,"Computarización de la Colección de Coleoptera (Insecta) del Centro de Investigaciones Biológicas, UAEH, Pachuca, Hidalgo, México"
2b89de41-42bd-46c6-ab61-d386f855f7fb,University of Puerto Rico Mayagüez Invertebrate Collection
1e86442f-35a5-4e7b-9a38-4599e4d3b510,DMNS Marine Invertebrate Collection (Arctos)
5f105976-5a5f-4a72-850d-2059a80f7c10,"University of Texas, Biodiversity Center, Ichthyology Collection (TNHCi)"
de9a1acc-2ca6-4c36-92af-e7ea8b29c096,WNMU Bird Collection (Arctos)
d6b13e38-15e2-4717-b337-ca1085948ede,Scorpiones Collection - Instituto Nacional de Pesquisas da Amazônia (INPA)
1e054b9b-0193-4ff3-b623-9264cf982d4d,"Vascular Plant Collection, Southern Oregon University Herbarium"
899855ee-4fd9-4e85-9033-880058303b5c,HST - Herbário Sérgio Tavares
4b05f088-74a4-44a5-a161-8b1484efc240,RBcarpo - Rio de Janeiro Botanical Garden Dry Fruits Collection
5f681b65-9a7e-4b79-8a17-fc95cc26b837,"Lichen Collection, Bureau of Land Management, Medford District Herbarium"
3e86e072-2597-4849-87d5-565afe40f988,The Hymenoptera collection (EY) of the Muséum national d'Histoire naturelle (MNHN - Paris)
061dfaff-0c45-459e-ac56-738fe4cbe213,UAM Herpetology Collection (Arctos)
30733214-8eb0-4894-b19d-775fe8a617cf,HAS - Herbário Alarich Rudolf Holger Schultz
c57817e7-034c-4796-ac47-2bc2191713b3,SPSF - Herbário Dom Bento José Pickel
9e832050-5b37-48d8-8e66-06b6282eeaf9,"Diaprioidea - xBio:D Cyberinfrastructure, The Ohio State University"
96a6898e-1fb6-4c49-a1f2-afb96058dbf8,Amphibians and Reptiles collection at the Natural History Museum of Denmark (SNM)
bd61c458-b865-4b05-9f1f-735c49066e55,CAS Invertebrate Zoology (IZ)
6226705f-4867-464d-9fab-4e81ecee731f,Dickinson State University Herbarium
7576d3a3-f686-4f47-80b3-e6ce51f8819a,"Herbarium specimens of Herbiers Universitaires de
		Clermont-Ferrand (CLF)"
6f82f182-39b4-4b3f-9087-91f6afafc04e,National Herbarium of Canada
b1beb057-bc34-49a9-b784-2a50af226712,Naturalis Biodiversity Center (NL) - Odonata
d100843b-d592-4024-8d15-fb1d8e218acd,Naturalis Biodiversity Center (NL) - Porifera
39289378-eed8-442c-ba0b-fce8b1679d8f,"Pacific Northwest Herbarium, Western Washington University"
4965a3ea-45b1-43ff-8afb-be9471b7a56f,Computarización sistemática de los bivalvos y gasterópodos de la sección húmeda de la Colección Malacológica Dr Antonio García-Cubas
1db8b527-7713-405b-b7ec-bc824580ccc6,Oregon State University Herbarium
665f34ed-bfa3-4b25-a838-3b97f4dce586,South Australian Museum Terrestrial Invertebrate Images
7559ca29-1d2f-4a64-993f-41939ee40947,Herbarium Amanitarum Rooseveltensis
62f951c1-b6a8-430c-8652-5691f079152c,Illinois Natural History Survey
03eac319-23c7-429e-9fa4-480640007d62,Youngstown State University
29388da4-4d07-4aff-9e90-560556b0b0db,Coleção Entomológica Padre Jesus Santiago Moure-Plecoptera (DZUP-Plecoptera)
5794eddf-4efd-4117-953b-c66568841a68,Fauna de insectos sociales del estado de Campeche
c882214e-8ba4-482b-9998-070b5547dc54,VMNH SUP  Paleontology Vertebrates and Paleobotony
3998ec8d-4aae-46db-9370-179c19b69356,"University of Wisconsin-Stevens Point, Robert W. Freckmann Herbarium"
ad913810-d1bb-4a64-a9f8-5c166d0ef974,"Los crisomélidos del bosque mesófilo de la reserva de la biósfera El Cielo, Gómez Farías, Tamaulipas"
6fac4ce7-3c5d-4b97-974e-c3c87fee96da,Estudio taxonómico del género Quercus (Fagaceae) en el Estado de México
8e2f9392-55ac-49f3-bcc2-131a00122626,Montana State University - Northern Herbarium
4dfb5828-3653-4604-ac00-db1e1da98b02,SDSM Botany and Paleobotany Collections
e7016bd5-cb10-45b9-8959-0f5750f7a5db,University of West Florida
55e724a4-336a-4315-99e7-01bf0c94f222,"Rutgers University, Chrysler Herbarium - Macroalgae Collection"
7311c4ac-7cf6-4160-a55c-4a4c7cd0cf89,UPCB - Herbário do Departamento de Botânica
341da8fa-d049-46ee-9be8-463043f26fa7,HUEFS - Herbario da Universidade Estadual de Feira de Santana
95ecb448-3c1f-4145-8565-4f6d51beb62c,KU Museum of Invertebrate Paleontology
531537fc-6349-4a20-ae42-540d61797086,Ada Hayden Herbarium (Iowa State University)
ec4acc26-ff1b-4131-a1df-a950fe31bb0e,"Vascular Plant Collection, College of Idaho, Harold M. Tucker Herbarium"
