institutionCode,total,has_collectionCode,has_catalogNumber,has_preparations,has_speciesKey,has_scientificName,has_scientificNameID,has_acceptedNameUsage,has_identificationID,has_locality,has_higherGeography,has_continent,has_countryCode,has_stateProvince,has_county,has_decimalLatitude,has_decimalLongitude,has_coordinates,has_verbatimElevation,has_verbatimDepth,has_image,has_dateIdentified,has_identifiedBy,has_recordedBy,has_eventDate,has_recordNumber
EKY,80953,0,77366,0,80402,80953,0,0,0,75804,0,0,80938,80573,79546,6721,6721,6721,1376,0,74752,2053,14069,80312,78531,72413
RHNM,6,0,6,0,6,6,0,0,0,6,0,0,6,6,6,6,6,6,6,0,6,5,5,6,6,6
USA200,1484,1484,1484,0,1046,1484,0,0,0,19,0,0,1210,0,0,2,2,2,0,0,0,0,0,0,0,0
CHRB,102216,0,102213,0,93294,102216,0,0,0,39852,0,0,82335,73005,43963,5736,5736,5736,4115,4,90667,7899,12000,58877,50073,42449
UCM,19,19,19,0,0,19,0,0,0,0,0,19,19,19,18,13,13,13,0,0,1,3,4,6,1,0
CS,57350,57350,57350,0,57221,57350,0,0,0,57339,0,0,57350,57310,56910,54877,54877,54877,0,0,0,0,5611,56115,0,0
BUT,43804,43804,43804,0,43361,43804,0,0,43804,41681,0,0,43804,43804,4067,0,0,0,0,0,0,0,3442,43737,40831,32529
USCH,113934,109502,71525,0,110222,113934,0,0,0,105577,0,0,112301,111745,106223,29289,29289,29289,969,0,68040,692,107838,112613,105818,89630
BISON,706,706,24,682,703,706,0,0,0,0,0,0,706,706,706,706,706,706,0,0,677,0,0,706,706,682
UMMP,5,5,5,0,0,5,0,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,0
DES,91263,0,88626,0,88832,91263,0,0,0,87995,0,0,90842,89636,76138,86788,86788,86788,58556,0,78074,9842,19282,91235,90335,81718
TULS,8379,8379,8379,0,8268,8379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
USA955,1683,1683,1683,0,1604,1683,0,0,0,1181,0,0,1634,0,0,355,355,355,0,0,0,0,0,0,0,0
USA042,881,881,881,0,830,881,0,0,0,292,0,0,844,0,0,115,115,115,0,0,0,0,0,0,0,0
PRI,2,2,2,0,2,2,0,0,0,2,2,2,2,2,2,1,1,1,0,0,0,0,0,0,0,0
USA167,8193,8193,8193,0,7010,8193,0,0,0,4563,0,0,6993,0,0,3847,3847,3847,0,0,0,0,0,0,0,0
TEX,490325,490256,490325,490324,475343,490325,0,0,0,487072,490088,490084,490078,487261,343098,128500,128500,128500,1,0,1,382168,435352,486161,486218,1
WSCO,4637,0,4512,0,4503,4637,0,0,0,4503,0,0,4626,4598,4468,2223,2223,2223,2365,0,0,598,3509,4615,4591,4101
SCFS,1697,0,1695,0,1637,1697,0,0,0,1680,0,0,1694,1694,1694,1669,1669,1669,1325,1,1548,573,1075,1693,1687,1313
USA134,241,241,241,0,241,241,0,0,0,98,0,0,224,0,0,27,27,27,0,0,0,0,0,0,0,0
OBI,63419,0,59356,1,61898,63419,0,0,0,63081,0,0,63335,62997,61798,41060,41060,41060,20142,1,59150,6610,18568,63326,61910,62474
USA022,66656,66656,66656,0,63059,66656,0,0,0,35553,0,0,60293,0,0,16865,16865,16865,0,0,0,0,0,0,0,0
NEBC,278158,278158,278158,278152,275784,278158,0,0,0,271207,278129,278129,278128,278068,225313,270,270,270,177,0,268376,7424,5302,278001,268169,105906
USA029,42197,42197,42197,0,38983,42197,0,0,0,17520,0,0,35512,0,0,18306,18306,18306,0,0,0,0,0,0,0,0
USFS/BHSC,3689,3689,3689,0,3684,3689,0,0,0,3651,0,0,3689,3689,3689,3616,3616,3616,3645,0,3615,2,65,3689,3674,3651
OSC,165591,165591,165591,0,163714,165591,0,0,0,165145,0,165585,165589,165591,161844,150453,150453,150453,2,0,3,162890,165591,165469,162076,2
UOBS,890,890,890,0,887,890,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MSB,8,8,8,8,0,8,0,0,0,8,8,8,8,8,3,1,1,1,0,0,0,6,8,8,8,4
UTAH,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,1,1
SEOSU,19884,19884,19884,0,19543,19884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
